s_1;email;statoverall_1;statoverall_2;statoverall_3;statoverall_4;statoverall_5;s_10;s_11;s_12;s_13;s_14;s_2;s_3;s_4;s_5;s_6;s_7;s_8;s_9;s_17;s_15;s_18;s_16;id;s_35;s_30;s_31;s_32;s_33;s_21;s_34;s_23;s_26
;"";0;0;0;1;0;7;2;5;1;1;;;;;;;;;5;"Would be nice to have units for signaling from other rooms";"";"";"Ka31iyXsvA";"";;;;;;;;
;"";0;0;0;1;0;6;2;2;1;2;;;;;;;;;5;"";"great idea with different code for silent alarm, maybe it could also be self chosen";"";"XyoAE0t1TT";"";;;;;;;;
;"";0;0;0;1;0;3;2;1;3;1;;;;;;;;;4;"It was a very good introductionary text that I needed to understand. I think I would have never understood what the system should do if it had not been for that explanation and the pictures and realistic effects. I had to concentrate very much though since there were some unfamiliar technical words and alarm systems are unfamiliar to me in general. I pressed the continue button too fast without thinking and did not memorize my code, so I did not experience succes within the system. Perhaps there could be an extra confirmation or reminder after pressing continue for the mindless fast-button-pressers";"No, it feels safe to me and I imagine that I would feel safe performing the task in a threatening situation";"";"wiQE4lYrts";"";;;;;;;;
;"";0;0;0;1;0;7;2;3;2;1;;;;;;;;;2;"Who will be alerted?";"Its quite clever";"";"PsREuD1fNz";"";;;;;;;;
;"";0;0;0;1;0;3;2;4;1;6;;;;;;;;;2;"I couldn?t remember the panic password. That?s the only trouble I had with this system. If I was threatened I wouldn?t be able to use the silent alarm because I would panic and just write the correct one out of fear of them knowing I put in the silent alarm. It was to complicated";"Make the system easier. Because when people panic they won?t remember the given panic password";"";"gBH71hpD9B";"";;;;;;;;
;"";0;0;0;1;0;3;2;4;3;3;;;;;;;;;5;"I can only imagine the great potential of how this simple, and easy to use/remember, extra added safety feature, can hold so much more sense of security than the ordinary securetysystem I have known until i heard of this one. The ordinary digitnumbersystem is in my opinion very close to this one in complexity and usability, but holds so much more sense of personal security in a threatening situation.";"Might the system be/feel less safe to the user, if it became well known to the general puplic, and therefore also to the threatening individual?";"";"mkGSrJh3t5";"";;;;;;;;
;"";0;0;0;1;0;5;7;6;4;5;;;;;;;;;3;"";"";"";"hK2HhHtklR";"";;;;;;;;
;"";0;0;0;1;0;3;7;6;4;5;;;;;;;;;1;"";"";"";"xD4ebs8JZe";"";;;;;;;;
;"";0;0;0;1;0;3;2;4;1;2;;;;;;;;;3;"Jeg glemte helt hvad systemet egentlig skulle gøre, da jeg blev for fokuseret på at huske tallene. Det betød, at jeg havde svært ved at svare på spørgsmålene efterfølgende. Derudover forstod jeg ikke rigtigt hvad systemet helt gik ud på, fordi det hele gik lidt hurtigt.    Nogle af de efterfølgende spørgsmål er lidt svære at svare på. Fx:   - om systemet kan hjælpe mig med at opnå mine mål - det er lidt subjektivt hvad ""mine mål"" er  - om systemets performance er kontinuerlig - det kan jeg ikke svare på, når jeg kun prøver det 1 gang, måske man skulle have mulighed for at prøve igen.  - Om systemet performer som det skal - det ved jeg ikke, for jeg ved ikke hvad en god performance er for systemet.  - om jeg er overrasket over systemets respons - det ved jeg ikke, for jeg ved ikke hvordan det er tiltænkt at det skal respondere";"Det virker som en rigtig god idé, hvis man kan huske tallene..";"Cille.lauridsen0@gmail.com";"xNHFh4tnxm";"";;;;;;;;
;"";0;0;0;1;0;3;2;3;3;1;;;;;;;;;4;"Meget simpelt system, men rent kommercielt mangler det måske flere funktioner ift. konkurrencen på markedet inden for sikkerhedssystemer. Måske tilføjelse af et skjult kamera der aktiverer når man bruger ""nødkoden"" for evt. identificering af gerningsmanden.";"Jeg er lidt i tvivl om dilemmaet - Sker denne slags indbrud ofte? Og sætter man ikke ejeren af boligen i en farlig situation ved at lukke ham og gerningsmanden ind sammen? Jeg forstår, at der er udløst en skjult alarm, men har man overblik over hvad der sker inde i boligen imens at alarmen er gået?";"";"ABZ3uzLonC";"";;;;;;;;
